hero_1,hero_2,games,winrate
41,64,1100,0.41363636363636364
41,81,200,0.45
64,81,380,0.5
26,67,2860,0.5122377622377622
26,111,520,0.4807692307692308
29,62,740,0.5945945945945946
29,67,1575,0.546031746031746
29,111,505,0.504950495049505
62,67,545,0.6146788990825688
62,111,135,0.48148148148148145
67,111,330,0.5606060606060606
12,71,1840,0.5543478260869565
12,76,315,0.4603174603174603
12,88,520,0.5576923076923077
14,71,5325,0.46854460093896716
14,76,1600,0.48125
14,88,1745,0.5386819484240688
71,76,1350,0.4703703703703704
71,88,1325,0.5094339622641509
76,88,475,0.6105263157894737
36,74,1835,0.49591280653950953
36,75,1730,0.546242774566474
71,75,2445,0.5153374233128835
74,75,1875,0.4666666666666667
74,93,3005,0.5174708818635607
1,26,3460,0.4595375722543353
1,48,245,0.5714285714285714
1,84,2240,0.47098214285714285
1,104,2150,0.5232558139534884
48,84,1370,0.49635036496350365
84,104,2695,0.5380333951762524
1,25,1670,0.5359281437125748
25,38,960,0.4322916666666667
38,84,1235,0.4898785425101215
38,104,1030,0.4854368932038835
15,33,145,0.4482758620689655
15,63,775,0.4774193548387097
31,33,255,0.5490196078431373
31,36,1940,0.5309278350515464
33,36,345,0.42028985507246375
33,63,280,0.5357142857142857
12,29,810,0.6234567901234568
12,39,925,0.5621621621621622
12,79,235,0.6382978723404256
29,39,2370,0.5611814345991561
39,75,1675,0.4955223880597015
75,79,170,0.4411764705882353
5,59,785,0.49044585987261147
5,70,870,0.47126436781609193
5,86,1560,0.5833333333333334
5,98,255,0.5686274509803921
59,70,460,0.3695652173913043
59,86,1280,0.46484375
59,98,140,0.5714285714285714
70,86,1680,0.48214285714285715
70,98,205,0.4146341463414634
